	#Gene_ID	ES2050	ES569	ES2483	ES2162	ES2329	ES2431	ES2160	ES2076	ES568	ES566	ES567	ES2484	ES2341	ES2049
51308	ENSG00000160908	75	47	131	58	132	73	67	38	99	90	82	86	105	69
51309	ENSG00000196652	147	66	137	75	174	138	146	199	111	159	98	127	136	156
51310	ENSG00000221909	91	61	79	116	150	126	153	100	188	118	105	181	167	100
51311	ENSG00000197343	226	85	215	180	234	126	121	77	240	210	151	249	350	150
51312	ENSG00000272647	0	1	0	0	0	0	0	0	0	0	0	0	0	0
51313	ENSG00000272647	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51314	ENSG00000265324	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51315	ENSG00000244219	1	6	9	0	11	1	0	36	6	7	9	2	3	2
51316	ENSG00000197037	188	88	155	148	95	99	162	58	146	148	149	187	192	131
51317	ENSG00000224448	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51318	ENSG00000106258	7	1	0	4	6	1	4	3	1	0	0	0	0	4
51319	ENSG00000160870	0	0	0	0	0	1	0	0	0	0	1	1	2	0
51320	ENSG00000221487	0	0	0	0	0	0	0	0	0	0	0	0	2	0
51321	ENSG00000160868	0	0	1	0	0	0	0	0	0	0	0	3	0	0
51322	ENSG00000273407	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51323	ENSG00000261511	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51324	ENSG00000021461	0	0	0	0	0	0	5	0	0	0	0	0	0	0
51325	ENSG00000260445	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51326	ENSG00000260524	0	0	0	0	1	0	0	0	0	0	0	0	0	0
51327	ENSG00000244623	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51328	ENSG00000146833	38	8	14	39	19	34	60	0	21	54	24	22	84	34
51329	ENSG00000176402	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51330	ENSG00000237640	0	1	0	0	0	0	0	0	0	0	0	0	0	1
51331	ENSG00000199711	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51332	ENSG00000222966	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51333	ENSG00000160862	0	0	0	0	0	0	0	1	0	0	0	0	0	0
51334	ENSG00000214313	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51335	ENSG00000235713	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51336	ENSG00000106261	1154	392	770	609	750	599	804	1047	843	765	599	918	661	867
51337	ENSG00000166529	89	41	74	83	49	39	76	96	86	68	48	73	110	86
51338	ENSG00000166526	455	358	463	462	462	347	432	404	818	635	470	446	407	394
51339	ENSG00000168090	1409	769	1372	1269	1765	1054	1317	802	1805	1415	1219	1308	1828	1074
51340	ENSG00000166508	2326	1463	3156	3686	2740	2170	3580	647	3396	3334	3096	2649	2059	1473
51341	ENSG00000207547	0	2	0	0	2	1	1	0	4	0	1	1	1	0
51342	ENSG00000207757	0	1	0	1	0	0	0	1	0	0	2	0	0	0
51343	ENSG00000208036	0	0	0	0	0	1	0	0	0	0	0	0	0	0
51344	ENSG00000221838	153	33	134	115	146	61	92	77	86	69	60	110	91	92
51345	ENSG00000106290	240	102	245	224	223	185	252	174	224	269	193	245	222	208
51346	ENSG00000242798	0	0	1	0	0	0	2	0	0	0	0	0	1	0
51347	ENSG00000166997	146	57	121	83	134	99	112	75	79	84	80	134	91	108
51348	ENSG00000214309	1	0	2	0	2	0	0	0	6	0	0	1	2	1
51349	ENSG00000235077	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51350	ENSG00000214142	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51351	ENSG00000188186	847	458	1083	609	1228	435	787	416	991	641	691	816	1351	720
51352	ENSG00000146826	9	10	7	12	19	4	18	2	18	6	17	5	20	15
51353	ENSG00000266154	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51354	ENSG00000197093	41	24	26	42	74	31	44	40	59	36	55	27	77	36
51355	ENSG00000213420	77	63	66	65	90	50	97	61	263	121	81	89	107	70
51356	ENSG00000066923	5	3	3	7	4	6	4	23	5	9	5	3	13	6
51357	ENSG00000239521	3	5	18	12	10	14	39	14	26	11	9	18	21	9
51358	ENSG00000160844	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51359	ENSG00000239521	0	1	0	1	0	1	0	1	3	1	0	1	1	0
51360	ENSG00000239521	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51361	ENSG00000239521	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51362	ENSG00000213413	0	1	0	0	0	0	0	0	0	0	0	0	0	0
51363	ENSG00000213413	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51364	ENSG00000222482	2	0	0	0	0	1	0	0	2	0	0	2	2	1
51365	ENSG00000214300	27	16	40	31	28	31	33	15	32	29	21	41	30	14
51366	ENSG00000078319	50	31	66	51	77	53	49	73	61	56	57	51	66	42
51367	ENSG00000201913	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51368	ENSG00000242294	2	1	1	1	0	6	3	1	1	0	0	5	5	0
51369	ENSG00000272752	0	0	1	1	0	0	0	0	0	0	0	1	0	0
51370	ENSG00000121716	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51371	ENSG00000272752	1	0	2	1	1	1	1	0	2	0	0	1	2	0
51372	ENSG00000272752	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51373	ENSG00000242294	0	0	0	0	2	0	5	0	3	0	1	0	0	0
51374	ENSG00000242294	0	0	0	0	0	0	0	0	0	0	1	0	0	0
51375	ENSG00000272752	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51376	ENSG00000242294	0	0	1	0	0	0	0	0	0	0	0	0	0	0
51377	ENSG00000242294	0	0	1	0	0	0	0	0	0	0	0	0	0	0
51378	ENSG00000242294	0	0	0	0	0	0	1	0	0	0	0	0	0	0
51379	ENSG00000242294	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51380	ENSG00000272752	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51381	ENSG00000121716	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51382	ENSG00000121716	7	6	5	0	5	9	0	2	3	7	3	3	14	7
51383	ENSG00000121716	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51384	ENSG00000121716	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51385	ENSG00000121716	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51386	ENSG00000235333	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51387	ENSG00000121716	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51388	ENSG00000121716	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51389	ENSG00000121716	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51390	ENSG00000085514	5	1	7	2	0	1	5	2	4	0	4	2	2	0
51391	ENSG00000078487	6	4	0	18	20	0	4	1	17	7	13	9	15	9
51392	ENSG00000146834	45	26	71	59	65	37	83	5	58	31	38	51	91	60
51393	ENSG00000241357	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51394	ENSG00000160813	5	1	16	7	11	3	12	10	14	5	7	12	17	6
51395	ENSG00000240211	0	0	0	1	1	0	0	0	1	1	0	0	0	0
51396	ENSG00000185955	0	0	1	0	4	2	0	0	0	2	1	0	0	0
51397	ENSG00000264758	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51398	ENSG00000166925	27	13	26	6	41	6	19	18	11	33	12	28	40	26
51399	ENSG00000266372	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51400	ENSG00000166924	0	0	0	0	0	0	4	0	1	0	4	0	4	0
51401	ENSG00000225807	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51402	ENSG00000242101	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51403	ENSG00000106351	3	1	11	13	4	9	0	24	15	8	9	10	5	11
51404	ENSG00000184414	6	1	1	8	1	3	2	4	1	1	1	0	2	1
51405	ENSG00000205307	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51406	ENSG00000077454	28	25	64	74	104	27	28	14	55	44	30	62	80	41
51407	ENSG00000106336	1	6	3	3	2	6	9	2	0	2	7	1	1	4
51408	ENSG00000224729	1	4	0	1	4	1	1	5	0	6	3	0	7	12
51409	ENSG00000106333	1021	47	436	82	469	32	160	242	218	86	48	323	913	628
51410	ENSG00000106330	157	80	154	103	140	64	202	77	187	109	95	145	224	120
51411	ENSG00000106327	0	0	5	0	6	0	0	12	10	0	0	17	0	3
51412	ENSG00000077080	14	47	36	78	98	12	86	30	441	101	28	39	11	29
51413	ENSG00000172354	301	110	325	168	444	124	247	201	354	192	128	333	400	332
51414	ENSG00000146830	57	41	76	98	128	51	78	38	139	112	90	124	116	73
51415	ENSG00000172336	414	214	515	391	496	209	473	137	485	306	318	392	512	256
51416	ENSG00000130427	0	0	0	0	2	0	0	0	1	0	0	0	0	0
51417	ENSG00000146839	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51418	ENSG00000196411	130	49	80	52	98	72	56	54	66	65	77	105	173	64
