Zebrafish gene name	ZMEL1 - rep1	ZMEL1 - rep2	ZMEL1 - rep3	ZMELR1 - rep1	ZMELR1 - rep2	ZMELR1 - rep3
prkcha	32	27	31	29	42	16
prkchb	27	38	21	16	22	17
prkci	6280	7175	6380	6241	9716	4232
prkcq	0	2	1	3	3	1
prkcsh	13584	15462	17489	12146	19451	10632
prkcz	572	848	906	1488	2256	1252
PRKD1	146	200	147	79	206	15
prkd3	2645	2726	2076	3508	5743	1370
PRKDC	2429	4589	2705	2199	4443	1330
prkg1a	2089	3810	2438	2570	5520	1090
prkg1b	4	2	5	0	9	2
prkg2	1	0	1	1	2	0
prkra	2161	3983	3239	1329	3147	1130
prkri	1674	2092	1709	1926	3263	1053
prkrip1	959	835	1114	1007	1106	550
prkrira	2882	3192	3102	2537	3860	1237
prkrirb	445	572	492	496	833	288
prkx	537	538	672	484	719	424
prl	6	6	2	0	5	0
prl2	4	0	2	2	6	1
prlh2	0	0	0	0	2	1
prlh2r	38	83	43	1	4	1
prlhr2a	0	0	0	0	1	1
prlhr2b	0	1	0	1	0	0
prlra	1	2	3	0	1	1
prlrb	1	1	9	3	11	1
prmt1	51443	48313	59233	40637	57460	23090
prmt10	386	480	467	396	679	187
prmt2	1249	1379	1544	987	1333	560
prmt3	2166	2500	2002	1357	2607	953
prmt5	8628	13459	9750	6772	14408	4810
prmt6	2713	2354	3527	1954	2512	1163
prmt7	5115	7176	5605	3109	6050	2767
prmt8b	2	3	3	4	20	3
prnpa	15	22	12	5	12	3
prnpb	13	9	9	8	9	8
prnprs3	3334	3934	3456	4837	7307	3892
PROB1	87	111	170	117	161	179
proca	1	0	1	2	8	0
proca1	74700	52922	103497	16063	11388	12221
PRODH2	0	0	2	1	3	2
prodha	248	687	388	565	1176	506
prok1	2	0	0	1	1	1
prok2	3	1	0	3	0	1
prokr1a	1	2	2	0	2	1
prom1a	2820	3319	2888	3962	5788	2732
prom1b	6	5	7	7	11	7
prom2	49	47	62	56	62	76
prop1	14	14	20	46	49	62
pros1	915	842	926	1063	1515	596
prosc	7089	8854	6485	5149	8952	2418
PROSER1	1295	1986	1806	1435	2614	1101
prox1a	93	135	137	205	344	54
prox1b	305	340	333	348	631	289
prox2	0	1	0	0	1	0
proza	3181	3778	3668	3811	5164	2776
prp	14	30	22	13	38	16
prp19	9161	11498	9196	4274	7838	2861
prpf18	3434	2468	4035	3130	3017	1556
prpf3	331	478	372	344	584	216
prpf31	3305	3848	3615	2629	4176	1680
prpf38a	2781	2199	2950	2837	2895	1187
prpf38b	6592	7991	6834	5187	8884	4944
prpf39	13295	14541	14871	10696	17364	8208
prpf4	463	551	551	422	678	261
prpf40a	8861	12242	9089	5996	11482	4711
prpf4ba	1274	2182	2306	1837	2973	1888
prpf4bb	5026	7071	6189	5194	9323	3378
prpf6	3962	4657	3345	2778	4624	1503
prpf8	15141	28359	21612	14553	31353	10555
prph	19	23	15	10	9	4
prph2a	4	6	3	2	3	3
prph2b	0	1	0	3	2	1
prph2l	5	11	21	12	23	5
prps1a	14641	19351	16647	10630	21545	10445
prps1b	5349	5365	5895	4557	6284	2523
PRPSAP1	8904	11384	11027	8532	15407	5092
prpsap2	3696	3808	4339	2558	3478	1484
prr11	1836	2074	1610	979	2055	165
prr12a	2749	5157	4771	5214	9083	3648
prr12b	1664	2824	2309	2316	3909	1141
prr14	843	1141	974	876	1559	423
prr15la	12	22	24	40	41	27
prr15lb	5	3	3	1	0	1
prr16	82	95	54	55	91	37
prr18	20	25	35	76	103	37
prr5	1001	1464	1492	798	1448	839
PRR5L	10	28	11	5	5	3
prrc1	1720	2081	1451	2043	2923	1171
prrc2a	23830	40930	36689	30324	57420	22765
PRRC2B	1130	2553	2484	1965	3973	2017
prrc2c	10698	21639	17583	13638	29269	14886
PRRG1	1527	2057	2125	2436	3574	2559
prrg2	52	38	59	99	92	53
PRRG3	62	192	127	124	248	48
prrg4	572	368	1585	362	253	380
prrt1	40	41	42	58	71	33
PRRT2	106	292	252	22	25	16
PRRT3	220	359	356	237	398	243
PRRT4	0	2	6	1	3	2
prrx1a	2	11	0	0	4	1
prrx1b	0	1	2	14	15	1
prss12	51	91	87	79	125	114
prss16	1164	1045	1951	1340	1512	1817
PRSS23	176	225	128	314	351	147
prss35	609	862	120	207	436	46
PRSS56	76	96	81	43	80	119
prtfdc1	870	653	794	800	889	218
prtgb	10	27	16	3	16	3
prune	303	763	927	884	1870	898
prune2	781	923	640	133	267	9
prx	5	8	13	3	4	8
psap	51955	59399	51408	59302	85134	64303
psat1	25302	25555	21560	16678	29518	3029
psd3l	3759	5486	4260	6177	10534	5627
psen1	2876	3811	3522	2769	4703	2131
psen2	1414	1695	1878	1554	2280	1801
