Zebrafish gene name	ZMEL1 - rep1	ZMEL1 - rep2	ZMEL1 - rep3	ZMELR1 - rep1	ZMELR1 - rep2	ZMELR1 - rep3
CABZ01055343.4	0	0	0	0	0	0
CABZ01055500.1	4164	4620	5201	6296	8429	4931
CABZ01055591.1	1	4	1	2	4	0
CABZ01055715.1	0	0	0	0	0	0
CABZ01055869.1	0	0	3	0	3	0
CABZ01056051.1	2	1	3	38	40	32
CABZ01056052.1	1	0	1	1	1	8
CABZ01056274.1	0	0	0	0	0	0
CABZ01056375.1	54	79	107	143	197	78
CABZ01056518.1	0	1	0	0	0	0
CABZ01056635.1	12	49	47	40	98	53
CABZ01056728.1	22	76	71	57	146	99
CABZ01056802.1	0	0	0	1	0	0
CABZ01056821.1	0	0	0	0	0	0
CABZ01056821.2	0	0	0	1	0	0
CABZ01057013.1	820	1067	981	716	1316	454
CABZ01057488.1	0	1	0	0	1	0
CABZ01057488.2	0	0	0	0	0	0
CABZ01057633.1	3	1	3	0	0	0
CABZ01057907.1	2515	3128	2336	1795	2825	1493
CABZ01057918.1	13	21	39	22	60	30
CABZ01057928.1	423	634	601	379	646	580
CABZ01057940.1	180	312	323	184	317	310
CABZ01057951.1	1039	847	1185	843	966	326
CABZ01058041.1	1	1	0	1	5	2
CABZ01058048.1	3	0	9	8	1	7
CABZ01058107.1	0	0	0	0	0	0
CABZ01058113.1	208	504	321	133	429	205
CABZ01058139.1	0	0	0	0	1	1
CABZ01058171.1	228	395	348	392	769	299
CABZ01058371.1	37	67	49	67	113	51
CABZ01058422.1	0	0	0	0	0	0
CABZ01058452.1	4	8	4	3	8	9
CABZ01058455.1	2	8	1	2	5	4
CABZ01058646.1	1	1	9	4	1	0
CABZ01058865.1	0	0	1	0	0	0
CABZ01058865.2	1	0	0	0	0	1
CABZ01058867.1	0	0	1	1	0	0
CABZ01058868.1	0	0	0	0	0	0
CABZ01058868.2	0	0	0	1	0	0
CABZ01058871.1	0	0	0	0	0	0
CABZ01058873.1	0	1	0	1	0	0
CABZ01058873.2	0	0	0	0	0	0
CABZ01058873.3	0	0	1	0	0	0
CABZ01058873.4	2	1	2	0	0	0
CABZ01059099.1	66	186	169	119	248	139
CABZ01059291.1	0	0	1	0	0	0
CABZ01059309.1	61	92	78	72	139	22
CABZ01059309.2	0	0	2	0	1	0
CABZ01059390.1	1978	2615	1848	1735	2949	1193
CABZ01059391.1	0	0	0	0	0	0
CABZ01059392.1	0	0	0	0	0	0
CABZ01059404.1	0	0	1	0	0	0
CABZ01059406.1	1	0	1	0	1	1
CABZ01059408.1	29	16	85	28	5	47
CABZ01059415.1	0	0	0	0	0	0
CABZ01059415.2	0	0	1	1	1	0
CABZ01059421.1	147	103	447	162	114	212
CABZ01059421.2	0	0	3	0	0	0
CABZ01059627.1	4	14	6	10	16	7
CABZ01059627.2	3	2	2	1	3	3
CABZ01059923.1	0	1	0	0	0	0
CABZ01060296.1	0	0	0	0	0	2
CABZ01060490.1	14	22	24	19	22	14
CABZ01060490.2	151	125	297	135	155	73
CABZ01060490.3	12	11	19	6	10	4
CABZ01060491.1	67	90	84	71	97	29
CABZ01060496.1	4	4	8	8	5	7
CABZ01060681.1	12	13	1	32	63	22
CABZ01060813.1	3	7	8	5	15	5
CABZ01061146.1	0	0	0	0	0	0
CABZ01061343.1	0	0	2	0	1	0
CABZ01061495.1	800	1442	1541	1070	2202	760
CABZ01061496.1	16	53	29	13	57	14
CABZ01061498.1	11	31	45	14	20	16
CABZ01061508.1	28	31	44	24	50	26
CABZ01061524.1	93	81	97	181	233	99
CABZ01061549.1	7	12	21	9	13	6
CABZ01061551.1	0	0	0	0	0	0
CABZ01061567.1	2021	2315	2364	2774	3736	2023
CABZ01061591.1	47	130	75	92	203	65
CABZ01061717.1	2683	2306	3219	3136	3356	4569
CABZ01061873.1	0	0	0	0	1	0
CABZ01061894.2	0	2	3	1	2	1
CABZ01061914.2	1652	2249	2445	2075	3887	1305
CABZ01061991.1	0	0	0	0	0	0
CABZ01062083.1	1	0	0	0	2	1
CABZ01062422.1	0	1	3	0	1	2
CABZ01062423.1	11	9	32	13	12	10
CABZ01062563.1	0	0	0	0	0	0
CABZ01062778.1	0	1	1	0	0	0
CABZ01062994.1	36	97	46	30	95	12
CABZ01062995.1	0	0	0	0	0	0
CABZ01063034.1	2	0	1	2	0	2
CABZ01063077.1	1	2	3	2	2	0
CABZ01063173.1	0	0	0	0	0	0
CABZ01063203.1	13	9	14	19	56	9
CABZ01063402.1	144	247	105	35	53	25
CABZ01063534.1	18	27	29	21	27	21
CABZ01063556.1	577	398	579	741	738	354
CABZ01063645.1	0	0	0	0	0	0
CABZ01063645.2	0	0	0	0	0	0
CABZ01063789.1	0	1	1	0	0	0
CABZ01063841.1	1	3	2	9	6	4
CABZ01063868.1	3	0	11	0	0	6
CABZ01063868.2	0	0	0	0	0	0
CABZ01063869.1	0	0	0	0	0	1
CABZ01064012.1	38	105	95	74	133	60
CABZ01064069.1	1	4	4	1	7	3
CABZ01064108.1	2	5	4	64	99	99
CABZ01064184.1	0	0	0	0	0	0
CABZ01064228.1	0	0	0	0	0	0
CABZ01064327.1	4	10	11	0	5	3
CABZ01064405.1	1452	971	657	300	93	434
CABZ01064447.1	2527	3292	2328	2378	4275	1377
CABZ01064535.1	288	433	354	317	550	209
CABZ01064670.1	2	4	4	6	7	7
CABZ01064674.1	7	12	14	5	13	2
CABZ01064699.1	0	0	0	0	0	0
CABZ01064771.1	0	1	1	0	0	0
CABZ01064799.1	0	0	0	0	0	0
CABZ01064861.1	28	24	22	14	13	16
CABZ01064941.1	185	261	125	591	786	366
CABZ01064947.1	0	0	0	0	0	0
CABZ01064968.1	5	2	5	2	3	2
CABZ01064968.2	1	0	2	1	1	1
CABZ01064968.3	10	7	12	9	5	9
CABZ01064972.1	0	0	1	0	0	1
CABZ01064972.2	2	0	8	4	2	8
CABZ01064973.1	1	0	2	0	1	1
CABZ01065179.1	1	0	0	0	0	0
CABZ01065246.1	0	0	0	0	0	0
CABZ01065246.2	0	126	42	14	21	4
CABZ01065328.1	0	0	0	0	1	2
CABZ01065401.1	2	0	7	0	0	0
CABZ01065506.1	26	25	36	14	14	20
CABZ01065679.1	0	0	4	4	2	2
CABZ01066312.1	303	379	238	220	337	106
CABZ01066439.2	34	32	93	13	22	9
CABZ01066502.1	17	18	6	3	12	5
CABZ01066511.1	25	44	24	6	22	2
CABZ01066573.1	1	4	1	3	1	2
CABZ01066695.1	10	12	9	4	14	5
CABZ01066716.1	0	1	0	0	0	0
CABZ01066717.1	55	94	75	72	113	60
CABZ01066717.2	80	93	160	104	157	92
CABZ01066734.1	2	3	2	4	6	3
CABZ01066772.1	844	1445	880	358	1050	367
CABZ01066921.1	41	143	65	28	113	24
CABZ01066957.1	26	39	24	7	14	2
CABZ01067071.1	125	146	101	119	213	59
CABZ01067072.1	56	95	93	115	226	85
CABZ01067080.1	0	0	1	0	1	0
CABZ01067098.1	934	1572	817	660	1553	202
CABZ01067150.2	95	170	179	145	284	145
CABZ01067170.1	0	0	0	0	0	0
CABZ01067175.1	0	0	0	0	0	0
CABZ01067232.1	7	18	9	8	7	7
CABZ01067245.1	67	178	139	158	312	68
CABZ01067557.1	16	41	21	54	112	42
CABZ01067609.1	1	4	1	4	2	0
CABZ01067657.1	0	0	0	0	0	0
CABZ01067711.1	79	85	111	124	212	103
CABZ01067743.1	1235	1150	1270	615	877	409
CABZ01067868.1	1963	2821	1892	1533	2574	1089
CABZ01067945.1	1931	3461	998	1734	3291	723
CABZ01068023.1	11	2	4	3	6	0
CABZ01068060.1	14	19	24	17	27	9
CABZ01068152.1	2	12	3	5	1	2
CABZ01068153.1	272	334	284	97	210	23
CABZ01068208.1	148	167	149	150	194	66
CABZ01068209.1	37	81	86	93	141	61
CABZ01068244.1	1	1	0	1	1	0
CABZ01068246.1	227	260	236	177	288	135
CABZ01068272.1	5	7	7	0	2	1
CABZ01068274.1	2272	3128	4134	3841	6624	6349
CABZ01068322.1	0	0	0	0	0	0
CABZ01068324.1	0	0	0	0	0	0
CABZ01068387.1	162	612	401	549	1268	429
CABZ01068387.2	196	528	329	436	1042	333
CABZ01068473.1	6	13	7	8	13	4
CABZ01068600.1	1121	1494	1042	798	1502	780
CABZ01068602.1	239	311	290	210	356	201
CABZ01068819.1	4	6	3	3	5	1
CABZ01069006.1	63	57	72	104	145	59
CABZ01069012.1	76	105	269	134	179	111
CABZ01069013.1	15	21	53	26	32	26
CABZ01069020.1	16	17	48	49	62	28
CABZ01069022.1	51	42	93	92	83	45
CABZ01069042.1	3	4	13	0	10	2
CABZ01069081.1	1	1	3	12	10	17
CABZ01069239.1	81	147	134	117	221	94
CABZ01069268.1	0	0	0	0	0	0
CABZ01069344.1	5	8	3	3	8	9
CABZ01069519.1	0	0	0	0	0	0
CABZ01069576.1	669	658	649	743	979	339
CABZ01069745.1	1	0	0	0	0	0
CABZ01069974.1	0	0	0	0	0	0
CABZ01070007.1	2946	5806	3234	4432	8166	2630
CABZ01070258.1	2152	2494	1814	1817	3085	1211
CABZ01070579.1	484	755	1366	528	943	754
CABZ01070631.1	66	129	132	106	176	82
CABZ01070637.1	4	4	3	1	7	3
CABZ01070852.1	7	8	9	8	11	2
CABZ01070852.2	25	19	46	17	28	2
CABZ01070854.1	0	2	4	1	2	0
CABZ01071036.1	32	66	46	72	133	46
CABZ01071058.1	981	1582	1676	1051	2067	1021
CABZ01071061.1	29	73	57	69	137	51
CABZ01071153.1	19	27	31	6	5	10
CABZ01071177.1	4	15	9	3	15	4
CABZ01071224.1	2	6	10	2	1	1
CABZ01071283.1	0	0	0	0	0	0
CABZ01071407.1	0	1	2	0	0	0
CABZ01071446.1	20	71	80	55	101	139
CABZ01071494.1	5	7	5	0	2	2
CABZ01071530.1	0	4	2	2	4	6
CABZ01071530.2	0	6	3	3	9	2
CABZ01071642.2	0	0	0	0	0	0
CABZ01071739.1	0	0	0	0	0	0
CABZ01071757.1	10	10	13	20	20	7
CABZ01071846.1	0	0	0	0	0	0
CABZ01071903.1	8	23	4	3	15	0
CABZ01071909.1	33	68	53	62	104	51
CABZ01071909.3	30	46	63	55	115	29
CABZ01071911.1	148	71	174	206	174	102
CABZ01071911.2	272	231	237	277	367	140
CABZ01071911.3	141	137	165	192	301	81
CABZ01071939.1	11	22	26	8	24	10
CABZ01071964.1	22	66	40	54	125	67
CABZ01072037.1	3	1	0	9	6	5
CABZ01072040.1	8	5	23	8	26	27
CABZ01072077.1	76	126	123	53	42	33
CABZ01072083.1	278	320	242	308	462	140
CABZ01072143.1	1	4	12	0	6	10
CABZ01072159.1	0	2	7	13	12	6
CABZ01072242.1	0	3	0	1	0	1
CABZ01072244.1	1	0	3	0	2	2
CABZ01072252.1	0	0	0	0	0	0
CABZ01072254.1	78	97	70	87	79	55
CABZ01072303.1	97	90	71	169	231	31
CABZ01072312.1	0	0	0	0	0	0
CABZ01072338.1	210	640	510	383	837	216
CABZ01072410.1	5	12	6	8	6	2
CABZ01072487.1	6	4	10	15	25	6
CABZ01072487.2	0	0	0	1	0	0
CABZ01072488.1	8	4	8	15	13	12
CABZ01072511.1	163	263	194	123	221	43
CABZ01072534.1	2	5	3	6	9	4
CABZ01072538.1	197	264	295	499	952	142
CABZ01072541.1	0	0	1	0	0	3
CABZ01072557.1	9	14	72	13	31	358
CABZ01072585.1	5494	3758	6077	9470	8429	5392
CABZ01072625.1	4	9	2	2	4	4
CABZ01072698.1	363	497	372	368	597	251
CABZ01072699.1	22	40	25	26	48	22
CABZ01072699.2	28	47	23	27	59	20
CABZ01072804.1	61	168	144	93	187	136
CABZ01072815.1	46	57	56	60	70	46
CABZ01072828.1	154	97	198	200	214	149
CABZ01072856.1	2	11	3	5	19	5
CABZ01072929.1	393	459	311	385	600	230
CABZ01072948.1	31	84	70	51	71	24
CABZ01072950.1	2	2	0	2	3	1
CABZ01072954.1	20	40	52	10	13	42
CABZ01072971.1	1	2	1	0	2	0
CABZ01072989.1	0	0	0	0	0	0
CABZ01073032.1	133	175	64	126	175	41
CABZ01073054.1	17	12	42	20	30	30
CABZ01073069.1	188	181	200	196	226	144
CABZ01073071.1	225	220	250	195	260	192
CABZ01073071.2	389	489	312	204	347	53
CABZ01073083.1	2	4	9	471	568	638
CABZ01073085.1	4097	4599	4437	4487	6895	3186
CABZ01073087.1	2	3	4	0	1	2
CABZ01073098.1	0	0	0	1	0	3
CABZ01073098.2	88	157	177	114	236	129
CABZ01073099.1	52	65	54	35	82	22
CABZ01073112.1	1	3	6	8	6	7
CABZ01073115.1	5	9	14	0	3	2
CABZ01073118.1	1330	1603	2375	3046	5092	2464
CABZ01073168.1	421	474	417	379	727	234
CABZ01073174.1	7	4	20	9	13	108
CABZ01073306.1	1	0	4	1	0	0
CABZ01073334.1	1397	2527	1906	1491	3095	1175
CABZ01073380.1	446	1274	1207	950	2095	964
CABZ01073389.1	0	1	1	2	2	1
CABZ01073405.1	0	0	0	0	0	0
CABZ01073417.1	8	10	6	8	12	2
CABZ01073424.1	1978	2963	2861	2613	4758	2838
CABZ01073641.1	6	7	2	6	13	3
CABZ01073654.1	151	64	129	110	99	35
CABZ01073736.1	1	1	3	11	10	6
CABZ01073740.1	8	13	47	4	7	10
CABZ01073795.1	322	441	5964	121	137	1069
CABZ01073954.1	1	5	1	1	1	2
CABZ01073963.1	61	126	98	172	298	124
CABZ01074070.1	98	162	286	93	200	250
CABZ01074076.1	117	197	297	93	193	272
CABZ01074081.1	1	5	7	3	3	3
CABZ01074081.2	59	57	84	35	62	42
CABZ01074130.1	32	16	79	3	2	4
CABZ01074181.1	11	14	28	9	20	12
CABZ01074268.1	0	1	1	1	1	0
CABZ01074298.1	2	3	0	0	0	0
CABZ01074309.1	14	16	33	12	29	23
CABZ01074334.1	3	3	4	2	1	1
CABZ01074367.1	1	5	1	2	6	1
CABZ01074397.1	1030	1628	2209	1882	3082	2150
CABZ01074423.1	46	68	50	43	97	15
CABZ01074435.1	29	13	24	12	16	4
CABZ01074647.1	26	32	54	50	82	42
CABZ01074659.1	0	0	0	0	0	0
CABZ01074669.1	15	16	24	12	23	14
CABZ01074712.1	0	0	0	0	2	0
CABZ01074886.1	9	14	57	31	38	34
CABZ01074888.1	17	22	17	15	18	6
CABZ01074899.1	156	109	185	75	46	28
CABZ01074906.1	83	152	61	121	290	66
CABZ01074913.1	380	421	403	317	480	186
CABZ01074944.1	1	0	0	0	2	2
CABZ01074946.1	1	1	2	0	1	0
CABZ01074982.1	0	2	1	2	1	2
CABZ01074984.2	35	33	32	28	20	33
CABZ01074994.1	0	0	0	0	0	0
CABZ01075078.1	4	2	7	10	6	2
CABZ01075125.1	1	9	1	4	8	1
CABZ01075143.1	223	383	355	232	478	185
CABZ01075169.1	1	9	1	2	4	1
CABZ01075191.1	328	304	426	405	509	335
CABZ01075242.1	8	7	7	19	15	11
CABZ01075273.1	5	5	16	5	10	9
CABZ01075275.1	0	0	0	0	0	0
CABZ01075572.1	4	5	5	1	1	4
CABZ01075684.1	17	25	22	12	20	8
CABZ01075684.2	0	0	0	0	1	0
CABZ01075689.1	114	528	275	71	233	42
CABZ01075922.1	0	0	0	0	0	0
CABZ01075922.10	0	0	0	0	0	0
CABZ01075922.2	0	0	0	0	0	0
CABZ01075922.3	0	0	0	0	0	0
CABZ01075922.4	0	0	0	0	0	0
CABZ01075922.5	0	0	0	0	0	0
CABZ01075922.6	0	0	0	0	0	0
CABZ01075922.7	0	0	0	0	0	0
CABZ01075922.8	0	0	0	0	0	0
CABZ01075922.9	0	0	0	0	0	0
CABZ01075923.1	4	3	3	3	5	1
CABZ01075947.1	0	0	0	2	0	0
CABZ01076078.1	0	0	0	0	1	0
CABZ01076094.1	1	0	0	3	2	4
CABZ01076121.1	3	0	1	4	3	0
CABZ01076173.1	51	143	103	69	124	36
CABZ01076182.1	0	1	0	1	0	3
CABZ01076211.1	0	0	0	0	0	0
CABZ01076216.1	0	1	1	1	5	3
CABZ01076234.1	314	607	878	460	839	563
CABZ01076275.1	4722	6990	4761	4624	8567	1233
CABZ01076351.1	7	11	20	6	9	4
CABZ01076524.1	0	0	0	0	0	0
CABZ01076533.1	0	0	0	0	1	1
CABZ01076534.1	0	0	0	0	1	0
CABZ01076669.1	1	0	3	1	1	2
CABZ01076758.1	0	1	2	0	1	0
CABZ01076801.1	8	30	32	11	16	20
CABZ01077003.1	0	0	0	0	0	0
CABZ01077140.1	0	0	0	0	0	0
CABZ01077217.1	818	975	904	801	1318	521
CABZ01077218.1	942	989	1423	1222	1508	753
CABZ01077220.1	171	154	213	244	227	94
CABZ01077221.1	0	0	0	0	0	0
CABZ01077223.1	0	4	3	0	5	0
CABZ01077228.1	0	0	0	0	0	0
CABZ01077271.1	20	66	69	55	85	50
CABZ01077409.1	0	0	0	0	0	0
CABZ01077409.2	0	0	0	0	0	0
CABZ01077409.3	0	0	0	0	0	0
CABZ01077449.1	0	0	1	6	0	0
CABZ01077555.1	150	149	532	116	171	421
CABZ01077605.1	164	156	135	94	172	53
CABZ01078124.1	0	3	2	1	1	1
CABZ01078244.1	0	0	0	0	0	0
CABZ01078244.2	0	0	0	0	0	0
CABZ01078244.3	0	0	1	1	0	0
CABZ01078262.1	0	0	0	0	0	0
CABZ01078314.1	3	4	3	5	5	5
CABZ01078431.1	96	112	66	80	169	13
CABZ01078481.1	321	380	361	209	331	124
CABZ01078499.1	0	0	0	0	0	0
CABZ01078499.2	0	0	0	0	0	0
CABZ01078515.1	6	16	4	3	5	5
CABZ01078520.1	0	0	0	0	0	0
CABZ01078523.1	27	63	54	12	48	18
CABZ01078610.1	284	461	2998	250	242	847
CABZ01078611.1	232	338	2069	192	183	607
CABZ01078634.2	0	0	0	0	0	0
CABZ01078654.1	0	0	0	0	1	1
CABZ01078767.1	42	24	100	106	116	114
CABZ01078849.1	1506	2143	1682	1470	2394	1126
CABZ01078889.1	2942	3326	2027	2271	3472	1240
CABZ01078919.1	400	858	616	588	1199	291
CABZ01078921.1	120	316	227	212	479	113
CABZ01078988.1	0	0	0	0	0	0
CABZ01079005.1	1	5	2	6	8	2
CABZ01079015.1	3222	4259	4527	3926	6851	2487
CABZ01079045.1	39	72	72	54	97	31
CABZ01079081.1	3	3	4	6	11	18
CABZ01079166.1	0	0	0	0	2	0
CABZ01079178.1	28	28	5	3	2	0
CABZ01079179.1	4	4	6	0	3	1
CABZ01079192.1	30127	46461	41649	15211	29367	34148
CABZ01079241.1	265	715	626	422	1028	378
CABZ01079251.1	1	0	1	0	0	0
CABZ01079258.1	14	24	35	7	14	21
CABZ01079296.1	121	225	108	97	225	31
CABZ01079302.1	426	620	751	476	868	432
CABZ01079304.1	53	57	60	60	77	48
CABZ01079386.1	0	0	0	0	0	0
CABZ01079427.1	109	160	116	92	167	74
CABZ01079442.1	8	9	5	0	0	0
CABZ01079490.1	306	464	462	317	547	254
CABZ01079494.1	30	17	27	30	47	30
CABZ01079541.1	7	27	72	22	47	13
CABZ01079764.1	11	17	45	2	9	6
CABZ01079804.1	0	1	2	0	0	0
CABZ01079804.2	1	1	1	0	1	0
CABZ01079809.1	7	12	3	2	2	1
CABZ01079824.1	0	2	0	1	1	0
CABZ01079870.1	2	1	0	2	1	3
CABZ01079873.2	0	0	0	2	0	1
CABZ01079939.1	0	0	0	0	0	0
CABZ01079952.1	0	0	0	0	1	0
CABZ01080074.1	15	10	13	7	9	4
CABZ01080075.1	1	6	4	0	1	1
CABZ01080134.1	0	3	1	0	1	2
CABZ01080142.1	1	9	7	14	19	5
CABZ01080224.1	30	79	74	20	53	13
CABZ01080274.1	24	28	7	4	11	3
CABZ01080338.1	1	3	0	2	2	0
CABZ01080370.1	423	588	464	341	697	266
CABZ01080397.1	122	255	181	123	263	157
CABZ01080435.1	0	1	0	0	1	0
CABZ01080471.1	0	0	0	0	0	0
CABZ01080492.1	1	4	1	0	1	0
CABZ01080568.2	2428	2776	1924	1620	2723	879
CABZ01080590.1	610	962	906	862	1290	654
CABZ01080599.1	1	5	1	0	0	1
CABZ01080649.1	0	0	1	1	1	0
CABZ01081294.1	3	17	0	1	5	0
CABZ01081333.1	0	1	0	0	2	0
CABZ01081359.1	1	3	11	0	3	2
CABZ01081375.1	927	924	1508	1075	1463	728
CABZ01081472.1	0	1	1	0	0	0
CABZ01081490.1	0	3	2	2	0	0
CABZ01081650.1	10	29	5	2	3	1
CABZ01081656.1	0	0	0	0	0	0
CABZ01081673.1	0	0	1	1	0	0
CABZ01081674.1	96	118	109	55	70	105
CABZ01081747.1	10	21	19	13	12	10
CABZ01081747.2	50	44	95	114	109	60
CABZ01081748.1	6	10	12	9	14	8
CABZ01081749.1	393	505	554	497	882	336
CABZ01081752.1	32	22	63	76	51	25
CABZ01081821.1	3	6	5	4	9	0
CABZ01081822.1	610	905	504	369	790	290
CABZ01081897.1	253	316	342	171	356	209
CABZ01081904.1	99	148	136	109	257	140
CABZ01082570.1	190	363	195	172	326	59
CABZ01083267.1	0	0	0	30	49	36
CABZ01083440.1	76	289	296	195	504	270
CABZ01083473.1	45	30	14	54	77	15
CABZ01083502.1	0	0	0	0	0	0
CABZ01083546.1	0	2	0	1	0	0
CABZ01083607.2	1	9	9	1	1	10
CABZ01083696.1	84	244	302	191	616	249
CABZ01083725.1	36	27	106	122	112	277
CABZ01083776.1	0	0	0	0	0	0
CABZ01083815.1	1	1	3	2	1	6
CABZ01083827.1	0	0	0	0	0	0
CABZ01083834.1	0	0	0	0	0	0
CABZ01083862.1	146	400	366	250	448	290
CABZ01084007.1	1822	2784	2160	1427	2829	649
CABZ01084010.1	6	10	8	4	19	2
CABZ01084012.1	0	2	1	1	5	2
CABZ01084014.1	1	0	1	1	2	1
CABZ01084273.1	0	0	1	0	0	0
CABZ01084323.1	28	77	21	184	505	21
CABZ01084347.1	10	19	6	2	8	0
CABZ01084451.1	17	25	20	12	34	2
CABZ01084503.1	30	19	16	24	32	10
CABZ01084505.1	0	0	1	0	1	0
CABZ01084538.1	291	774	768	701	1356	886
CABZ01084564.1	22	32	31	4	17	3
CABZ01084569.1	53	75	47	154	236	104
CABZ01084570.1	2	0	1	0	0	1
CABZ01084613.1	26	54	35	32	71	26
CABZ01084613.2	1104	1105	1134	1114	1478	652
CABZ01084615.1	0	2	1	0	0	0
CABZ01084618.1	0	4	2	3	4	2
CABZ01084700.1	22	27	20	28	63	20
CABZ01084703.1	5	17	6	16	16	8
CABZ01084815.1	39	75	93	37	51	32
CABZ01084828.1	0	0	0	0	0	0
CABZ01084829.1	0	0	0	0	0	0
CABZ01084846.1	48	41	151	176	172	174
CABZ01084877.1	24	76	82	85	191	117
CABZ01084942.1	11	12	21	10	12	4
CABZ01084952.1	13	41	6	13	27	4
CABZ01085048.1	24	83	35	34	127	29
CABZ01085054.1	1290	3381	4487	1744	3561	2588
CABZ01085069.1	2	3	7	1	1	7
CABZ01085085.1	341	389	593	519	694	460
CABZ01085158.1	0	0	0	0	0	0
CABZ01085177.1	0	0	1	0	0	0
CABZ01085192.1	76	257	119	1	4	0
CABZ01085317.1	0	0	0	0	0	1
CABZ01085394.1	0	0	0	0	1	0
CABZ01085473.1	0	0	2	0	0	1
CABZ01085623.1	21	30	9	7	26	5
CABZ01085626.1	390	588	304	323	507	159
CABZ01085657.1	399	524	588	339	702	297
CABZ01085858.1	846	1350	700	1209	1972	508
CABZ01085878.1	940	1401	1271	701	1248	665
CABZ01085888.1	1096	1338	1102	695	1235	474
CABZ01086041.1	58	154	133	156	273	98
CABZ01086220.1	33	45	38	26	21	6
CABZ01086292.1	0	1	0	0	1	0
CABZ01086354.1	1	5	3	4	4	0
CABZ01086401.1	5	4	1	7	9	2
CABZ01086542.1	0	1	1	0	0	0
CABZ01086544.1	1	1	1	0	0	0
CABZ01086560.1	0	0	0	3	3	0
CABZ01086597.1	8	5	7	0	0	1
CABZ01086639.2	0	0	0	0	0	0
CABZ01086639.3	0	0	0	0	0	0
CABZ01086639.4	0	0	0	2	0	2
CABZ01086642.1	0	0	0	0	0	0
CABZ01086642.2	0	0	0	0	0	0
CABZ01086663.1	0	0	0	0	0	0
CABZ01086718.1	1290	1514	1444	1507	1967	1360
CABZ01086759.2	92	126	112	111	176	91
CABZ01086789.1	2	4	1	0	2	0
CABZ01086801.1	545	630	569	370	588	209
CABZ01086824.1	48	42	31	70	62	13
CABZ01086825.1	358	373	561	367	426	468
CABZ01086828.1	0	0	0	0	1	1
CABZ01086835.1	0	0	1	0	2	0
CABZ01086926.1	100	104	114	73	102	82
CABZ01086927.1	69	94	87	73	102	61
CABZ01086942.1	0	3	0	0	0	0
CABZ01086952.1	2	5	3	3	4	1
CABZ01086996.1	0	0	0	0	0	0
CABZ01087025.1	0	3	1	0	2	0
CABZ01087088.1	0	0	2	1	2	3
CABZ01087111.1	110	211	151	70	145	76
CABZ01087197.1	930	1584	1522	1142	2285	695
CABZ01087282.1	2893	6862	6008	4609	10195	4936
CABZ01087282.2	614	1861	1783	1211	2829	1464
CABZ01087514.1	1759	2135	2635	1425	2254	1038
CABZ01087549.1	49	96	55	62	149	77
CABZ01087562.1	67	120	104	54	145	27
CABZ01087568.1	1907	2825	2084	2027	3706	2439
CABZ01087670.1	248	423	565	329	592	345
CABZ01087853.1	892	1746	1024	1085	1953	1328
CABZ01088025.1	42	143	16	23	68	8
CABZ01088039.1	1596	1888	1452	4494	5826	2522
CABZ01088061.1	833	1074	979	1111	1811	706
CABZ01088071.1	29	42	25	43	90	12
CABZ01088134.1	136	142	109	81	122	45
CABZ01088149.1	438	418	659	458	659	390
CABZ01088168.1	29	56	73	30	54	37
CABZ01088238.1	0	1	0	0	0	1
CABZ01088330.1	541	700	163	232	592	30
CABZ01088346.1	38	61	46	11	25	24
CABZ01088365.1	100	124	106	74	135	34
CABZ01088508.1	58	91	95	95	103	82
CABZ01088509.1	666	586	685	593	764	670
CABZ01088685.1	0	0	0	1	3	5
CABZ01088691.1	0	0	0	2	1	1
CABZ01088691.2	0	0	0	1	0	2
CABZ01088718.1	0	0	1	0	0	0
CABZ01088737.1	1185	796	493	1033	1166	665
CABZ01088864.1	0	0	0	0	0	0
CABZ01088877.1	0	0	0	0	0	0
CABZ01088927.1	43	91	45	65	150	71
CABZ01088930.1	217	384	190	323	617	270
CABZ01088933.1	150	282	93	182	450	81
CABZ01088935.1	0	0	0	0	0	0
CABZ01088982.1	0	0	0	0	0	0
CABZ01089063.1	15	73	30	5	8	6
CABZ01089205.1	0	0	0	0	0	0
CABZ01089385.1	388	406	381	166	272	81
CABZ01089399.1	0	0	0	0	0	0
CABZ01089777.1	4	8	6	3	11	10
CABZ01089974.1	1343	1773	813	419	840	136
CABZ01090021.1	37	68	12	15	30	10
CABZ01090041.1	21	24	17	7	10	5
CABZ01090073.1	6	20	19	41	42	21
CABZ01090118.1	5	6	1	3	7	1
CABZ01090124.1	2	19	1	1	3	0
CABZ01090219.1	180	359	358	127	300	132
CABZ01090220.1	1	0	0	0	1	0
CABZ01090303.1	47	68	33	23	36	5
CABZ01090712.1	0	1	1	1	0	1
CABZ01090748.1	8	6	14	2	8	4
CABZ01090750.1	11	19	11	2	8	10
CABZ01090951.1	110	116	87	110	176	81
CABZ01090973.1	0	1	0	0	1	0
CABZ01090975.1	2	2	1	1	1	0
CABZ01090980.1	559	699	747	299	550	614
CABZ01092285.1	2	5	4	0	4	2
CABZ01092390.1	0	0	0	0	0	0
CABZ01092722.1	21	46	47	31	63	7
CABZ01092745.1	9	8	4	2	5	3
CABZ01092925.1	3	3	1	1	1	2
CABZ01092941.1	47	116	73	120	198	124
CABZ01092943.1	534	687	1406	526	811	924
CABZ01092973.1	30	51	72	58	79	56
CABZ01093008.1	1	1	0	0	3	0
CABZ01093064.1	0	0	0	0	0	0
